index_symbol,index_label,constituent
^CNXDEFENCE,NIFTY DEFENCE,ASTRAMICRO.NS
^CNXDEFENCE,NIFTY DEFENCE,BDL.NS
^CNXDEFENCE,NIFTY DEFENCE,BEL.NS
^CNXDEFENCE,NIFTY DEFENCE,BEML.NS
^CNXDEFENCE,NIFTY DEFENCE,COCHINSHIP.NS
^CNXDEFENCE,NIFTY DEFENCE,DATAPATTNS.NS
^CNXDEFENCE,NIFTY DEFENCE,DCXINDIA.NS
^CNXDEFENCE,NIFTY DEFENCE,GRSE.NS
^CNXDEFENCE,NIFTY DEFENCE,HAL.NS
^CNXDEFENCE,NIFTY DEFENCE,IDEAFORGE.NS
^CNXDEFENCE,NIFTY DEFENCE,MIDHANI.NS
^CNXDEFENCE,NIFTY DEFENCE,MTARTECH.NS
^CNXDEFENCE,NIFTY DEFENCE,PARAS.NS
^CNXDEFENCE,NIFTY DEFENCE,SOLARINDS.NS
^CNXDEFENCE,NIFTY DEFENCE,TANEJAERO.NS
^CNXDEFENCE,NIFTY DEFENCE,UNIMECH.NS
^CNXDEFENCE,NIFTY DEFENCE,ZENTECH.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,AXISBANK.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,BAJAJFINSV.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,BAJFINANCE.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,BSE.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,CHOLAFIN.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,HDFCBANK.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,HDFCLIFE.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,ICICIBANK.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,ICICIGI.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,ICICIPRULI.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,JIOFIN.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,KOTAKBANK.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,LICHSGFIN.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,MUTHOOTFIN.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,PFC.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,RECLTD.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,SBICARD.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,SBILIFE.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,SBIN.NS
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,SHRIRAMFIN.NS
^CNXAUTO,NIFTY AUTO,ASHOKLEY.NS
^CNXAUTO,NIFTY AUTO,BAJAJ-AUTO.NS
^CNXAUTO,NIFTY AUTO,BHARATFORG.NS
^CNXAUTO,NIFTY AUTO,BOSCHLTD.NS
^CNXAUTO,NIFTY AUTO,EICHERMOT.NS
^CNXAUTO,NIFTY AUTO,EXIDEIND.NS
^CNXAUTO,NIFTY AUTO,HEROMOTOCO.NS
^CNXAUTO,NIFTY AUTO,M&M.NS
^CNXAUTO,NIFTY AUTO,MARUTI.NS
^CNXAUTO,NIFTY AUTO,MOTHERSON.NS
^CNXAUTO,NIFTY AUTO,SONACOMS.NS
^CNXAUTO,NIFTY AUTO,TIINDIA.NS
^CNXAUTO,NIFTY AUTO,TMPV.NS
^CNXAUTO,NIFTY AUTO,TVSMOTOR.NS
^CNXAUTO,NIFTY AUTO,UNOMINDA.NS
^CNXCONSUM,NIFTY CONSUMPTION,ADANIPOWER.NS
^CNXCONSUM,NIFTY CONSUMPTION,APOLLOHOSP.NS
^CNXCONSUM,NIFTY CONSUMPTION,ASIANPAINT.NS
^CNXCONSUM,NIFTY CONSUMPTION,BAJAJ-AUTO.NS
^CNXCONSUM,NIFTY CONSUMPTION,BHARTIARTL.NS
^CNXCONSUM,NIFTY CONSUMPTION,BRITANNIA.NS
^CNXCONSUM,NIFTY CONSUMPTION,DIXON.NS
^CNXCONSUM,NIFTY CONSUMPTION,DLF.NS
^CNXCONSUM,NIFTY CONSUMPTION,DMART.NS
^CNXCONSUM,NIFTY CONSUMPTION,EICHERMOT.NS
^CNXCONSUM,NIFTY CONSUMPTION,ETERNAL.NS
^CNXCONSUM,NIFTY CONSUMPTION,GODREJCP.NS
^CNXCONSUM,NIFTY CONSUMPTION,HAVELLS.NS
^CNXCONSUM,NIFTY CONSUMPTION,HEROMOTOCO.NS
^CNXCONSUM,NIFTY CONSUMPTION,HINDUNILVR.NS
^CNXCONSUM,NIFTY CONSUMPTION,INDHOTEL.NS
^CNXCONSUM,NIFTY CONSUMPTION,INDIGO.NS
^CNXCONSUM,NIFTY CONSUMPTION,ITC.NS
^CNXCONSUM,NIFTY CONSUMPTION,M&M.NS
^CNXCONSUM,NIFTY CONSUMPTION,MARUTI.NS
^CNXCONSUM,NIFTY CONSUMPTION,MAXHEALTH.NS
^CNXCONSUM,NIFTY CONSUMPTION,NAUKRI.NS
^CNXCONSUM,NIFTY CONSUMPTION,NESTLEIND.NS
^CNXCONSUM,NIFTY CONSUMPTION,TATACONSUM.NS
^CNXCONSUM,NIFTY CONSUMPTION,TATAPOWER.NS
^CNXCONSUM,NIFTY CONSUMPTION,TITAN.NS
^CNXCONSUM,NIFTY CONSUMPTION,TRENT.NS
^CNXCONSUM,NIFTY CONSUMPTION,TVSMOTOR.NS
^CNXCONSUM,NIFTY CONSUMPTION,UNITDSPR.NS
^CNXCONSUM,NIFTY CONSUMPTION,VBL.NS
^CNXENERGY,NIFTY ENERGY,ABB.NS
^CNXENERGY,NIFTY ENERGY,ADANIENSOL.NS
^CNXENERGY,NIFTY ENERGY,ADANIGREEN.NS
^CNXENERGY,NIFTY ENERGY,ADANIPOWER.NS
^CNXENERGY,NIFTY ENERGY,AEGISLOG.NS
^CNXENERGY,NIFTY ENERGY,ATGL.NS
^CNXENERGY,NIFTY ENERGY,BHEL.NS
^CNXENERGY,NIFTY ENERGY,BPCL.NS
^CNXENERGY,NIFTY ENERGY,CASTROLIND.NS
^CNXENERGY,NIFTY ENERGY,CESC.NS
